Latitude,Longitude,Date,Address,Zip
43.0423318211,-76.1885481961,2011-09-25T00:00:00Z,Burnet Ave.,13204
43.0353575428,-76.1783414366,2011-09-22T00:00:00Z,319 Lydell St.,13204
43.0501994073,-76.1180767827,2011-09-21T00:00:00Z,1807 West Erie Blvd.,13210
43.0400594209,-76.1604043864,2011-09-14T00:00:00Z,306 Slocum Ave.,13204
43.0781155464,-76.1669524288,2011-09-13T00:00:00Z,Alliance Stadium,13208
43.028208132,-76.1525759587,2011-09-12T00:00:00Z,315 Kirk Ave.,13205
43.0384229425,-76.1444899603,2011-09-12T00:00:00Z,461 Britte Rd.,13202
43.0599588673,-76.197443541,2011-09-07T00:00:00Z,1318 Willis Ave.,13204
1, 1,2011-09-07T00:00:00Z,6801 Voorhies Ln.,
43.0525746717,-76.1332541205,2011-09-04T00:00:00Z,310 Lodi St.,13203
43.0365920149,-76.0988759845,2011-09-03T00:00:00Z,438 Brookford Rd.,13224
43.0511071679,-76.1754554321,2011-09-02T00:00:00Z,205 Apple St.,13204
43.0523347867,-76.1454088598,2011-09-02T00:00:00Z,207 Burnet Ave.,13203
43.0288292401,-76.1787674089,2011-09-01T00:00:00Z,Woodland Reservoir,13207
43.0008506495,-76.1437249319,2011-09-01T00:00:00Z,122 West Seneca Tpk.,13205
43.0532661856,-76.1414129561,2011-08-27T00:00:00Z,320 Hawley Ave.,13203
43.0778164199,-76.1417457782,2011-08-24T00:00:00Z,319 Hillside St.,13208
43.0778164199,-76.1417457782,2011-08-22T00:00:00Z,319 Hillside St.,13208
43.0531638667,-76.1302444765,2011-08-19T00:00:00Z,333 Elm St.,13203
43.0531638667,-76.1302444765,2011-08-19T00:00:00Z,333/335 Elm St.,13203
43.0544000646,-76.0957310238,2011-08-18T00:00:00Z,2740 East Erie Blvd.,13224
43.0586487842,-76.1809796827,2011-08-10T00:00:00Z,935 East Hiawatha Blvd.,13204
43.041774149,-76.1347569611,2011-08-07T00:00:00Z,750 University Ave.,13210
43.0481472203,-76.171694971,2011-08-06T00:00:00Z,836 West Erie Blvd.,13204
43.0500396473,-76.1662138162,2011-08-04T00:00:00Z,VanRensselaer St. & Richmond Ave.,13204
43.052864661,-76.1933063808,2011-08-04T00:00:00Z,Herkimer St. & Charlotte St.,13204
43.0506783076,-76.134240217,2011-08-02T00:00:00Z,East Erie Blvd & University Ave.,13210
43.0536706231,-76.0933387544,2011-07-28T00:00:00Z,123 Polk St.,13224
43.0549788905,-76.0863059754,2011-07-26T00:00:00Z,124 Headson Dr.,13224
43.0382368699,-76.1473686659,2011-07-26T00:00:00Z,Burt St. & South State St.,13202
43.0563109217,-76.1676811897,2011-07-25T00:00:00Z,313 Sand St.,13204
43.0025121558,-76.1345191516,2011-07-23T00:00:00Z,450 East Seneca Tpke.,13205
43.0238441943,-76.128658912,2011-07-21T00:00:00Z,East Colvin St. & Comstock Ave.,13210
43.0756345688,-76.1533814748,2011-07-20T00:00:00Z,132 Brace St.,13208
43.038374843,-76.1810632279,2011-07-19T00:00:00Z,601 Grand  Ave.,13204
43.0574828469,-76.1958079448,2011-07-18T00:00:00Z,Chemung St. & Willis Ave.,13204
43.0663362479,-76.1228432729,2011-07-17T00:00:00Z,1345 Teal Ave.,13206
43.0248461139,-76.112217196,2011-07-14T00:00:00Z,1143 Cumberland Ave.,13210
43.0329927713,-76.1487671254,2011-07-14T00:00:00Z,100 East Castle St.,13205
43.0872599642,-76.1639257925,2011-07-13T00:00:00Z,7th North Street & Terminal Rd.,13088
43.0551075342,-76.1156447185,2011-07-13T00:00:00Z,Peat St. & Riegal St.,13206
43.0237403644,-76.1285705386,2011-07-12T00:00:00Z,1300 East Colvin St.,13210
43.0551075342,-76.1156447185,2011-07-12T00:00:00Z,Riegel St. & Peat St.,13206
43.0800318838,-76.1536365739,2011-07-12T00:00:00Z,Lemoyne Ave & 7th North St.,13208
43.0578989263,-76.1985380294,2011-07-10T00:00:00Z,1130 Avery Ave.,13204
43.0789317531,-76.1337165014,2011-07-08T00:00:00Z,221 Rivoli Ave.,13208
43.0551075342,-76.1156447185,2011-07-05T00:00:00Z,Riegel St. & Peat St.,13206
43.0358667896,-76.1496033264,2011-07-01T00:00:00Z,1150 South Salina St.,13202
43.0486647323,-76.1947294811,2011-06-30T00:00:00Z,501 Myrtle St.,13204
42.9871271661,-76.1419188446,2011-06-30T00:00:00Z,108 East Oakley Dr.,13205
43.013635331,-76.1262786923,2011-06-29T00:00:00Z,1300 Jamesville Ave.,13210
43.0494833923,-76.1438772693,2011-06-28T00:00:00Z,East Washington st. & South McBride St.,13202
43.0752497708,-76.1068978402,2011-06-27T00:00:00Z,357 North Edwards Ave.,13206
43.0493786437,-76.1398847738,2011-06-24T00:00:00Z,800 East Washington St.,13210
43.0687511584,-76.1072643783,2011-06-21T00:00:00Z,2820 James St.,13206
43.0550632153,-76.0901391194,2011-06-20T00:00:00Z,2921 East Erie Blvd.,13224
43.05721026,-76.1722105314,2011-06-17T00:00:00Z,805 Spencer St.,13204
43.0549896661,-76.0827962654,2011-06-06T00:00:00Z,Headson Dr. & Thompson Rd.,13214
43.047045791,-76.1515018989,2011-06-06T00:00:00Z,East Jefferson St. & Bank Aly.,13202
43.0523348041,-76.170537368,2011-06-04T00:00:00Z,408 North Geddes st.,13204
43.0010006541,-76.1591142199,2011-06-03T00:00:00Z,171 Hopper Rd.,13207
43.0544000646,-76.0957310238,2011-05-31T00:00:00Z,2740 East Erie Blvd,13224
